Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bhutan,BTN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.568,70.486,70.409,70.338,70.279,70.228,70.187,70.157,70.142,70.048,69.879,69.733,69.613,69.522,69.467,69.471,69.532,69.607,69.666,69.7,68.15,67.41,64.4,65.3,62.61,63.14,62.961,62.782,62.603,66.364,67.827,69.094,63.094,64.993,64.9,64.82
Botswana,BWA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.606,62.348,62.137,61.937,61.654,61.287,60.894,60.464,60.12,59.377,58.6,58.819,59.006,59.195,59.425,59.665,59.894,60.853,61.783,62.682,59.862,60.571,61.169,61.587,61.917,62.191,62.461,62.766,63.107,63.48,61.298,63.994,64.621,68.276,68.569,68.798
Central African Republic,CAF,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.417,72.504,72.567,72.606,72.629,72.658,72.682,72.684,72.674,72.654,72.625,72.616,72.596,72.563,72.549,72.535,72.549,72.581,72.603,72.661,72.737,72.82,72.956,73.105,73.298,73.421,73.419,73.425,73.43,73.424,72.726,72.626,73.426,73.425,73.421,73.389
Canada,CAN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.76,66.227,65.301,64.935,64.751,64.404,64.225,64.42,64.67,65.072,65.291,65.412,66.386,67.111,67.057,66.731,66.827,67.109,67.268,66.952,66.732,66.594,66.558,66.541,66.022,65.887,65.638,65.792,65.547,65.809,64.097,65.195,65.247,65.361,64.739,64.516
Central Europe and the Baltics,CEB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.33035661,57.37187764,57.20596493,56.81791081,56.40142326,55.88349055,55.56318616,55.2983253,55.08586557,54.8845402,54.53801451,54.85557688,54.47595503,54.31363637,54.20869417,54.18565318,54.11081517,54.19805233,54.59249893,53.97814867,54.83030144,54.76670878,55.10378039,55.25800271,55.73254684,56.05329282,56.17257777,56.72932698,56.81802613,56.89979956,56.73117128,57.41872251,57.89274145,57.95911847,57.66481761,57.40650645
Switzerland,CHE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.659,64.822,64.73,65.043,64.008,64.087,67.428,67.328,67.862,67.735,67.296,67.77,67.75,67.849,67.264,66.96,67.32,67.615,68.192,68.275,67.013,67.525,67.586,67.602,67.991,68.217,68.663,68.538,68.575,68.323,67.984,67.736,67.078,67.454,67.103,66.747
Channel Islands,CHI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.109,57.296,57.404,57.394,57.508,57.828,58.165,58.415,58.718,59.126,59.344,59.377,59.468,59.497,59.569,59.738,59.713,59.721,59.727,59.671,59.959,59.36,59.501,59.337,58.914,58.991,58.909,58.738,58.55,58.377,57.535,57.819,57.729,57.084,56.728,56.356
Chile,CHL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.514,53.199,54.247,54.81,55.206,56.03,56.63,56.619,56.752,56.647,55.909,55.014,54.512,55.031,55.397,55.735,56.875,57.348,58.546,58.345,60.369,61.715,61.688,61.811,62.118,62.262,62.324,62.951,63.207,63.072,56.358,57.552,60.138,61.521,62.295,62.304
China,CHN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17,78.706,78.234,77.754,77.267,76.773,76.271,75.762,75.246,74.722,74.19,73.878,73.563,73.246,72.927,72.605,72.281,71.954,71.625,71.294,70.96,70.86,70.41,69.97,69.65,69.3,68.88,68.35,67.81,67.38,65.721,67.11,65.8,65.83,64.91,64.551
Cote d'Ivoire,CIV,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.604,65.554,65.498,65.44,65.381,65.321,65.265,65.213,65.17,65.322,65.474,65.625,65.776,65.927,66.078,66.228,66.378,66.527,66.676,66.825,66.973,67.122,67.269,67.16,67.05,66.94,66.829,66.121,65.406,64.684,64.893,66.233,67.149,67.129,67.108,67.09
