Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,France,FRA,..,114079.5395,124907.3299,126319.1924,127060.8634,128928.4454,119633.9856,123998.8709,124988.8567,125877.3939,127331.9633,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Gabon,GAB,..,92810.77924,77719.08527,75864.41854,74470.59755,75293.55462,78445.56139,76713.20176,71821.11908,71810.85204,72658.88446,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Gambia, The",GMB,..,11440.90168,9759.861004,9813.823812,10107.4743,10474.58569,10386.74807,10650.79604,10888.08779,11244.32009,11518.17585,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Georgia,GEO,..,11141.12483,34990.98069,35926.43781,38834.77664,41265.32264,38524.84671,44589.94952,47270.71603,50507.31801,55209.44843,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Germany,DEU,..,110738.5893,120306.5753,122479.5744,122737.0888,122616.6801,120091.5303,124673.8576,125524.7822,123751.0821,123471.8476,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Ghana,GHA,..,8879.690897,14263.42814,14996.71909,15873.67386,16875.1361,17123.61013,17906.61417,18467.09994,18586.62217,19154.87545,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Greece,GRC,..,81759.356,94012.20419,93242.60733,93072.97589,92661.45174,84377.67076,90794.82603,91638.30968,92145.88975,91704.63612,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Guatemala,GTM,..,23857.37579,28684.28029,28646.28581,29064.2027,30181.04229,29401.68025,28780.55487,30913.10456,31363.53918,31773.96156,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Guinea,GIN,..,6981.93732,10424.77356,11294.48295,11816.50022,12298.24247,12748.3065,12976.68019,12957.06533,13265.94798,13569.42287,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Guinea-Bissau,GNB,..,5784.808554,6468.273729,6577.157054,6636.789955,6814.553747,6804.892125,6815.089646,6841.209768,7027.376387,7111.825385,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Guyana,GUY,..,25117.14004,36811.60642,38033.6819,38213.02497,41904.26226,63456.08746,74112.98122,110338.4215,144808.5546,204862.1524,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Haiti,HTI,..,9545.445322,9199.175752,9252.089783,9234.290168,8945.175101,8732.602481,8343.788492,8111.381198,7857.47072,7475.079295,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Honduras,HND,..,13005.14075,15268.92565,15128.78037,14827.19776,15608.47164,15600.18718,16374.28836,17308.18118,17666.31426,17639.33008,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Hong Kong SAR, China",HKG,..,83159.3833,123445.279,126739.1849,128537.3361,126827.8888,124435.1445,133018.796,129856.6477,129942.3323,134063.9427,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Hungary,HUN,..,55641.19589,69667.1435,71409.38343,74593.75278,78041.48821,75538.41256,80222.84954,82350.8736,81141.93165,82049.74424,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Iceland,ISL,..,84230.67963,105715.9583,106885.9399,109666.7955,109395.6097,105377.4045,109745.8346,111802.1279,115266.5489,112976.8365,..
